qid,P1087,qal585,S813,S854,S1440
Q364519,2420,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,306070
Q11866739,2159,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,501093
Q356394,1905,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,660302
Q368004,2504,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,700061
Q1124934,2613,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,921637
Q366392,2189,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,940836
Q2687565,2376,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1002996
Q27530777,2308,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,101710
Q27523956,2277,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,104825
Q27529068,2353,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,110094
Q27524517,2309,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,111120
Q372965,2353,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,600210
Q27525289,2343,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,100099
Q421942,2152,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,10202587
Q27531109,2364,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,103489
Q430543,2210,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1206729
Q438621,2531,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,12800104
Q433358,2412,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,13300210
Q441176,2313,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2810964
Q419994,2252,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2906660
Q951469,2471,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,400122
Q439685,2406,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,405094
Q434808,2445,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4101529
Q27527483,2325,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,501808
Q2750766,2411,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,100250
Q2498876,2372,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,100366
Q27526288,2364,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,101150
Q27527631,2385,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,112488
Q27532537,2320,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,113026
Q27525370,2442,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,114650
Q458418,2326,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,14100380
Q451870,2185,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,14601982
Q27527632,2372,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2000571
Q444473,2615,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2021285
Q445884,2355,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2300052
Q456805,2171,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4107098
